,CO2,Norwegian Balance,Norwegian export,CO2 bad,Germany,Platforms
7308,112.2371706764625,-7.483350031993771,2.577338482553275,112.37371472153387,3.085275558425611,0.4965238002595684
7309,120.14716968414369,-15.928857137244705,0.6879730843570838,120.15907501755811,0.8658424301392296,0.04329212150696151
7310,128.35973412489832,-6.857853457464323,2.699545397261511,128.535693262111,2.776836127398435,0.6398514080461878
7311,131.43427060409195,-10.053339240504881,1.8657618238959908,131.50780395130295,2.1970097327011917,0.2673939898581275
7312,121.51262815564982,-7.691377567693839,3.273060535338262,121.76424416627297,3.533943508571349,0.9149673113569413
7313,123.82368893228904,-10.427680220150416,1.7787367925949025,123.89005275404497,1.6897999529651568,0.24132298820335052
7314,125.40763031226457,-14.813537236553032,2.5192206079041926,125.5370293581748,2.817795577508983,0.470541985128102
7315,120.04789259007137,-7.665647543264394,2.6184209243375047,120.21712288926204,3.018956244627293,0.615382906147917
7316,124.91743916963723,-12.00940333136822,1.4305207288849071,125.01342502485245,1.783530692440662,0.34903947350981807
7317,126.48116640160075,-13.079567281018473,1.2946083289527746,126.54183656079213,1.2298779125051358,0.22061876069592115
7318,118.32737858409739,-9.714662755871823,1.4748587229510546,118.36071824557976,1.8256517868035018,0.12123513266320694
7319,116.57067768295911,-12.07637148253266,0.4422826820927025,116.64664014352296,1.0569725479880674,0.2762271293230499
7320,126.59376816890789,-10.969370900644238,2.7091258672326,126.67674295914583,2.57366957387097,0.30172650995615413
7321,125.04841851235317,-6.5713588070808875,1.8113788893888472,125.18137814561707,2.782149944919405,0.4834895755051251
7322,126.11969784515419,-7.800085641309364,2.3972562928349403,126.23260469645737,2.7019294781931937,0.4105703683751976
7323,112.20719104436805,-10.724281630944617,1.6308380031712135,112.30196240593641,2.186100103012653,0.34462313297585584
7324,117.9019924983527,-9.187444135753795,1.8583272101981374,117.98866620232704,1.9776788496882303,0.3151771053612321
7325,114.91799432966702,-9.78123540017334,3.329874500702716,115.15570758165687,3.6611586940046026,0.864411825417651
7326,128.631510525477,-8.795571852207837,1.6028893596375178,128.7262860962752,1.946002396701476,0.34463843926611437
