,Days NO to DE,Days DE to NO,CO2,Norwegian Balance,Norwegian export
235,43.0,1.0,129.2265914900746,0.4496636419750338,6.433917789892178
236,31.0,1.0,114.14258443036621,-2.991983513984177,5.640202325337622
237,43.0,2.0,118.42108275148759,2.6692120323504036,6.3387451708201805
238,45.0,2.0,114.1640208775345,3.068684596100835,8.033839687617606
239,26.0,2.0,123.85499383616012,-1.4713452596450416,4.050034925521467
240,36.0,2.0,115.35592676707266,2.041325320817702,6.158044344910278
241,28.0,3.0,121.72108857175483,-3.756250729125707,3.023222977857551
242,39.0,3.0,114.92538520325553,1.3783481553188037,6.179234576539749
243,35.0,3.0,113.43405143270114,-0.389147270554967,5.333130628095238
244,31.0,2.0,122.58361422836052,-2.5509996293878103,4.098105785390999
245,37.0,0.0,121.96443792128184,-1.5330611445533144,7.04936121492668
246,42.0,4.0,112.41959217534934,3.7106303214332335,6.969902342242308
247,34.0,2.0,119.50870872438291,-0.7784560599203706,5.174063715466688
248,31.0,2.0,110.86895748078675,-2.687543860753862,4.816304460862786
249,44.0,2.0,110.34869327054633,1.3862143501563582,7.911770826040857
250,31.0,5.0,114.86145094666065,-1.4485041253195732,3.780407705558053
251,38.0,1.0,107.50480194096838,0.1908443481394353,6.841575382444484
252,41.0,0.0,117.89043338628774,0.10086246271778504,6.483240691190537
253,34.0,4.0,112.89827090044976,-0.25115678206440595,4.88254753935924
254,27.0,1.0,116.31360767279082,-3.041053312955656,5.1886977883527745
255,23.0,2.0,119.88741270895889,-4.142623179280269,4.011600066860555
256,45.0,2.0,112.42438547863138,2.2955083343434723,7.5561651756437
257,35.0,3.0,124.21971250570218,0.5434742200642745,5.282619767193657
258,36.0,7.0,103.29576239972428,3.49131772881248,5.800757635863723
259,27.0,0.0,129.52703412304058,-3.9973927718920943,4.995291960460984
260,31.0,3.0,118.65265824109473,-0.9191061714646059,3.6118160611730086
261,31.0,2.0,129.62569510382656,-1.0852002500557714,4.539748522984974
262,28.0,2.0,121.90212395587511,-2.006249615722459,4.906932142164871
263,30.0,2.0,117.35250363454035,-3.9586957149313458,5.607427577157192
264,36.0,2.0,113.54957190277067,1.5612340596696916,5.6787124756225795
265,31.0,1.0,113.44761871506958,-1.7509164837038926,5.383383995795742
266,32.0,4.0,116.90861098723065,0.12694286146712233,3.8570670111806997
267,22.0,3.0,129.0676070902722,-7.248103533124021,3.8723368019851883
268,43.0,1.0,112.63067540286436,1.5799541920177187,8.655652321485368
269,41.0,2.0,114.66726287322993,4.879576532853341,6.930632291456029
270,34.0,3.0,105.0913287553018,-1.536252864013856,4.742261987238546
271,31.0,2.0,112.53879327804877,-1.9295442539263974,5.088843209930643
272,35.0,1.0,113.12975918545733,0.5246293178925862,6.0261421963400155
273,31.0,3.0,123.35373809808867,-1.6034693780991611,2.6070279984133258
274,31.0,2.0,121.17464629407252,1.063194805016539,5.383755918916743
275,36.0,2.0,120.27920354656251,0.526434134974434,5.826835074266458
276,43.0,2.0,119.6510503885975,2.712375081913591,7.277531167384944
277,34.0,1.0,111.69832930358848,-0.3301162163191014,6.133370767071311
278,33.0,5.0,106.41030950203631,3.768008516743119,6.057819507379161
279,29.0,4.0,113.30075193012057,-6.22957186862078,4.354067922633981
280,38.0,1.0,118.22479367741917,-1.0604562063654834,5.939102571182346
281,28.0,0.0,133.83738645065927,-7.035229057398755,4.892211962244013
282,44.0,0.0,115.2151454335527,2.569519230208856,7.9319847521319975
283,34.0,1.0,121.34288172621999,-2.137324077394399,5.437000300088725
284,38.0,2.0,117.46596526587122,1.623977363886442,6.937483128822284
285,37.0,4.0,106.84110194676386,0.9596195298286581,5.84611666312526
286,44.0,2.0,119.53430695063324,0.9510960222204952,6.5604785617611165
287,32.0,5.0,129.4827807512127,-1.6775908525284124,4.080673131166655
288,48.0,3.0,106.82483608073655,4.478923314011909,8.554509350669749
289,31.0,1.0,124.96513040687137,-2.0075364203109114,3.616182804076469
290,36.0,1.0,109.44231072361315,-0.4908819070727001,5.9725480300057665
291,45.0,1.0,129.18287637166023,2.3438435981187165,7.63466035022494
292,34.0,2.0,115.94333838055752,-0.3890775967391834,5.226521109280264
293,34.0,5.0,118.76307314506425,-2.2132068225502546,4.5900746244022805
294,46.0,3.0,118.59375851726897,3.5892374571256553,7.2667871049947
295,24.0,5.0,111.23004977823078,-3.0609526924880277,3.2852836479538894
296,46.0,0.0,130.697093821052,1.5152568182280073,7.337429400864732
297,40.0,1.0,122.922523895969,1.425266963567022,7.05322748119861
298,43.0,4.0,117.76866292047089,2.3423571896996247,6.253850466947721
299,39.0,3.0,117.31952859643224,1.5650457207102428,6.994591646181557
300,21.0,5.0,113.8059403416018,-2.3569761241326694,2.9555459268353967
301,30.0,6.0,118.30018218717375,0.7293621961511285,4.294031487598008
302,38.0,1.0,121.85776777802621,-0.30541950497556014,6.464142225494308
303,24.0,1.0,125.06153590612594,-6.217716023984219,3.3120336750756882
304,27.0,0.0,123.19737572813801,-4.172295114624461,3.7744799718944493
305,35.0,3.0,114.85187997256418,0.9774008864055006,5.572140292582385
306,40.0,1.0,122.88151659289922,0.8415994408811787,6.070036265758513
307,42.0,1.0,113.98869158701463,1.3347455582973176,7.593960472450534
308,36.0,3.0,114.05629693314174,0.9379755295369328,5.417149860512406
309,38.0,6.0,104.00344615483998,1.3301380822330628,5.425715749776572
310,31.0,4.0,107.6354311065665,0.6346666005660238,5.3860784889865805
311,34.0,3.0,120.70412207971741,-0.26841161401719416,3.3343891513959583
312,36.0,2.0,119.72198360355962,0.09633509035913018,5.899966109005828
313,45.0,1.0,115.1411306924891,1.5996035105476325,7.680226320666371
314,43.0,4.0,109.20429131686562,3.7645937190404886,7.7402090339911584
315,37.0,0.0,128.762786060626,-0.7799326724557754,7.103057041832903
316,32.0,3.0,129.70231893981594,-3.3456099250181084,4.593296284470028
317,37.0,5.0,111.86542157569828,1.4165617322256425,5.4847470371907106
318,47.0,1.0,110.80987639885342,3.0320364832974973,7.841312094412008
319,33.0,2.0,118.27864884334181,0.12021111365251848,5.61944507817249
320,29.0,2.0,113.50053662337457,-1.3557478615865939,3.952963061138788
321,37.0,1.0,113.87767782283868,-1.550065517820484,6.496058403330411
322,36.0,1.0,125.22012219728781,-1.6410233743292968,5.4033248817852995
323,32.0,1.0,120.32492209074178,-1.3474164624864573,5.0872139947008135
324,37.0,4.0,115.44950230584195,1.7495574612517564,5.6736428649662285
325,21.0,1.0,121.31093900683834,-4.392813099183521,3.268469066944363
326,38.0,0.0,128.18042569782827,-0.3843742609280301,5.6526018523192425
327,29.0,2.0,116.79839843146195,-2.0745245969305675,4.541619610832652
328,36.0,1.0,118.71776274002234,0.17551777339576394,6.361700285085162
329,28.0,6.0,106.67230232474179,0.1116766059349461,3.3950227449785992
330,25.0,2.0,127.63620713713127,-4.266982666319616,3.9435430137610004
331,29.0,0.0,121.37639033039206,-2.9932587989265733,4.712768781644185
332,38.0,0.0,113.09236982648439,-0.6334458289669421,7.463179814042788
333,45.0,2.0,106.50205178904987,3.2931595020435003,9.048739395157469
