,CO2,CO2 bad,Norwegian Balance
2844,115.45417804632474,117.15822609203974,0.24762807383040572
2845,112.4095714282711,114.39206262018484,2.7492862483798235
2846,123.23074827951179,124.79529764796563,-1.154759777734509
2847,119.42907559753336,120.82998583720092,0.7392727338445699
2848,110.22833290339679,111.82337974680962,-0.31912892189733033
2849,110.44112810030633,112.04210844365272,0.8346894022502466
2850,130.51341515366613,131.60639913819918,-4.765185452974368
2851,117.47440629211722,118.66699377372188,-3.993795065521468
2852,125.44926619689994,127.2507917490178,3.652660574080456
2853,102.54319048166359,103.8159525739856,0.32328702274017057
2854,107.35506193982971,109.13907656474873,2.455062587741066
2855,120.61349167987487,122.53084456668611,0.26345829824692035
2856,117.1429660499102,118.3599756554255,-0.3053728940562373
2857,118.3600987803291,119.96363504848324,-1.444113853802583
2858,114.44187343382703,116.01100580785511,0.24229164472306822
2859,113.87259918290412,115.38221378367389,1.258994663651321
2860,122.61608883835447,124.33328723485829,0.5684314327215457
2861,113.86304173593585,115.61392081170898,0.4743632948322557
2862,124.49074996929437,125.98659139240092,-0.5574357017713669
2863,120.01116144527266,121.56737513986532,0.9577198445177001
2864,123.025685843813,124.42508679688315,-1.6081728561431192
2865,122.26814646502223,123.82535886258637,0.32533873161543975
2866,121.07128178829369,122.68794294946251,-0.15105922861742205
2867,125.92876814498283,127.11821784629012,-4.341222152419697
2868,124.69256986187753,126.13378158278788,-0.40689440727051696
2869,119.65358744525973,121.04068107553921,-2.140851088537953
2870,118.42566593487425,120.06374263021077,-0.355182102289509
2871,115.17751341051552,116.81518483110054,0.2775949658975778
2872,114.40723600102002,115.68020489391671,-1.27565413227903
